block_M,block_N,threads,num_stages_cfg,order,stage,group,sync,num_stages_kw
64,64,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,64,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,64,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,64,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,128,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,128,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,128,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,128,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,256,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,256,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,256,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
64,256,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,64,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,64,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,64,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,64,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,128,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,128,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,128,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,128,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,256,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,256,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,256,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
128,256,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,64,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,64,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,64,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,64,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,128,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,128,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,128,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,128,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,256,128,1,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,256,128,2,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,256,128,3,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
256,256,128,4,"[-1, 0, 3, 1, -1, 2]","[-1, 0, 0, 1, -1, 1]","[[0], [1, 2], [3, 4, 5, 6, 7, 8, 9, 10], [11], [12], [13]]",,num_stages
